,Mode,,Frequency,,Isotopologue
12-1-1-1-1,,,,,
Mode,1,,-1798.8745,,CHHHH
,,,16.9358,,CHHHH
,,,313.6989,,CHHHH
,,,347.9141,,CHHHH
,,,786.064,,CHHHH
,,,926.6672,,CHHHH
,,,1207.8595,,CHHHH
,,,1293.6862,,CHHHH
,,,1400.8452,,CHHHH
,,,1485.1122,,CHHHH
,,,1510.0608,,CHHHH
,,,3116.244,,CHHHH
,,,3249.2363,,CHHHH
,,,3253.1676,,CHHHH
,,,3814.4534,,CHHHH
13-1-1-1-1,,,,,
,,,-1798.7925,,QHHHH
,,,16.9361,,QHHHH
,,,313.4492,,QHHHH
,,,346.8527,,QHHHH
,,,773.6525,,QHHHH
,,,922.8316,,QHHHH
,,,1202.5041,,QHHHH
,,,1288.8666,,QHHHH
,,,1395.0817,,QHHHH
,,,1483.1671,,QHHHH
,,,1509.5895,,QHHHH
,,,3114.1334,,QHHHH
,,,3237.0058,,QHHHH
,,,3240.8571,,QHHHH
,,,3814.4531,,QHHHH
13-1-1-1-2,,,,,
,,,-1355.1493,,QHHHD
,,,16.8757,,QHHHD
,,,269.0053,,QHHHD
,,,311.4263,,QHHHD
,,,755.0609,,QHHHD
,,,914.4583,,QHHHD
,,,1021.5958,,QHHHD
,,,1153.2836,,QHHHD
,,,1259.2725,,QHHHD
,,,1471.3657,,QHHHD
,,,1472.3715,,QHHHD
,,,3114.0569,,QHHHD
,,,3236.8526,,QHHHD
,,,3240.6473,,QHHHD
,,,3814.38,,QHHHD
13-1-1-2-1,,,,,
,,,-1793.847,,QHHDH
,,,16.1679,,QHHDH
,,,300.8075,,QHHDH
,,,311.5601,,QHHDH
,,,747.0225,,QHHDH
,,,902.2083,,QHHDH
,,,1140.6179,,QHHDH
,,,1178.452,,QHHDH
,,,1323.0014,,QHHDH
,,,1390.1076,,QHHDH
,,,1470.1875,,QHHDH
,,,2331.4508,,QHHDH
,,,3160.3208,,QHHDH
,,,3240.6616,,QHHDH
,,,3814.4522,,QHHDH
13-1-2-1-1,,,,,
,,,-1787.0988,,QHDHH
,,,16.0393,,QHDHH
,,,277.0346,,QHDHH
,,,341.6844,,QHDHH
,,,749.6387,,QHDHH
,,,915.2508,,QHDHH
,,,1101.9697,,QHDHH
,,,1209.6124,,QHDHH
,,,1262.4067,,QHDHH
,,,1440.0167,,QHDHH
,,,1465.6467,,QHDHH
,,,2332.6083,,QHDHH
,,,3161.4227,,QHDHH
,,,3237.7711,,QHDHH
,,,3814.4511,,QHDHH
13-2-1-1-1,,,,,
,,,-1787.0988,,QDHHH
,,,16.0393,,QDHHH
,,,277.0349,,QDHHH
,,,341.6842,,QDHHH
,,,749.6381,,QDHHH
,,,915.2505,,QDHHH
,,,1101.9707,,QDHHH
