,Mode,,Frequency,,Isotopologue
12-1-1-1-1,,,,,
MODE,7,FREQUENCY=,1375.64350,(CM**-1),CHHHH
MODE,8,FREQUENCY=,1375.64365,(CM**-1),CHHHH
MODE,9,FREQUENCY=,1375.64423,(CM**-1),CHHHH
MODE,10,FREQUENCY=,1595.76843,(CM**-1),CHHHH
MODE,11,FREQUENCY=,1595.76960,(CM**-1),CHHHH
MODE,12,FREQUENCY=,3053.48658,(CM**-1),CHHHH
MODE,13,FREQUENCY=,3164.81889,(CM**-1),CHHHH
MODE,14,FREQUENCY=,3164.81952,(CM**-1),CHHHH
MODE,15,FREQUENCY=,3164.82012,(CM**-1),CHHHH
,,,,,
12-1-1-1-2,,,,,
MODE,7,FREQUENCY=,1213.77831,(CM**-1),CHHHD
MODE,8,FREQUENCY=,1213.77851,(CM**-1),CHHHD
MODE,9,FREQUENCY=,1369.37473,(CM**-1),CHHHD
MODE,10,FREQUENCY=,1533.81781,(CM**-1),CHHHD
MODE,11,FREQUENCY=,1533.81854,(CM**-1),CHHHD
MODE,12,FREQUENCY=,2294.23747,(CM**-1),CHHHD
MODE,13,FREQUENCY=,3085.75600,(CM**-1),CHHHD
MODE,14,FREQUENCY=,3164.61696,(CM**-1),CHHHD
MODE,15,FREQUENCY=,3164.61773,(CM**-1),CHHHD
,,,,,
12-1-1-2-2,,,,,
MODE,7,FREQUENCY=,1074.55640,(CM**-1),CHHDD
MODE,8,FREQUENCY=,1141.27320,(CM**-1),CHHDD
MODE,9,FREQUENCY=,1293.40084,(CM**-1),CHHDD
MODE,10,FREQUENCY=,1382.15311,(CM**-1),CHHDD
MODE,11,FREQUENCY=,1497.33828,(CM**-1),CHHDD
MODE,12,FREQUENCY=,2247.38727,(CM**-1),CHHDD
MODE,13,FREQUENCY=,2344.21272,(CM**-1),CHHDD
MODE,14,FREQUENCY=,3114.42536,(CM**-1),CHHDD
MODE,15,FREQUENCY=,3164.41312,(CM**-1),CHHDD
,,,,,
12-1-2-2-2,,,,,
MODE,7,FREQUENCY=,1048.25300,(CM**-1),CHDDD
MODE,8,FREQUENCY=,1076.64114,(CM**-1),CHDDD
MODE,9,FREQUENCY=,1076.64163,(CM**-1),CHDDD
MODE,10,FREQUENCY=,1345.28881,(CM**-1),CHDDD
MODE,11,FREQUENCY=,1345.28934,(CM**-1),CHDDD
MODE,12,FREQUENCY=,2202.81887,(CM**-1),CHDDD
MODE,13,FREQUENCY=,2344.20722,(CM**-1),CHDDD
MODE,14,FREQUENCY=,2344.20776,(CM**-1),CHDDD
MODE,15,FREQUENCY=,3140.32421,(CM**-1),CHDDD
,,,,,
12-2-2-2-2,,,,,
MODE,7,FREQUENCY=,1039.45492,(CM**-1),CDDDD
MODE,8,FREQUENCY=,1039.45505,(CM**-1),CDDDD
MODE,9,FREQUENCY=,1039.45544,(CM**-1),CDDDD
MODE,10,FREQUENCY=,1128.81230,(CM**-1),CDDDD
MODE,11,FREQUENCY=,1128.81313,(CM**-1),CDDDD
MODE,12,FREQUENCY=,2159.97080,(CM**-1),CDDDD
MODE,13,FREQUENCY=,2344.20188,(CM**-1),CDDDD
MODE,14,FREQUENCY=,2344.20245,(CM**-1),CDDDD
MODE,15,FREQUENCY=,2344.20295,(CM**-1),CDDDD
,,,,,
13-1-1-1-1,,,,,
MODE,7,FREQUENCY=,1367.15462,(CM**-1),QHHHH
MODE,8,FREQUENCY=,1367.15477,(CM**-1),QHHHH
MODE,9,FREQUENCY=,1367.15536,(CM**-1),QHHHH
MODE,10,FREQUENCY=,1595.76843,(CM**-1),QHHHH
MODE,11,FREQUENCY=,1595.76960,(CM**-1),QHHHH
MODE,12,FREQUENCY=,3053.48658,(CM**-1),QHHHH
MODE,13,FREQUENCY=,3153.42381,(CM**-1),QHHHH
MODE,14,FREQUENCY=,3153.42442,(CM**-1),QHHHH
MODE,15,FREQUENCY=,3153.42501,(CM**-1),QHHHH
,,,,,
13-1-1-1-2,,,,,
MODE,7,FREQUENCY=,1205.58516,(CM**-1),QHHHD
MODE,8,FREQUENCY=,1205.58538,(CM**-1),QHHHD
MODE,9,FREQUENCY=,1362.11869,(CM**-1),QHHHD
MODE,10,FREQUENCY=,1532.75280,(CM**-1),QHHHD
MODE,11,FREQUENCY=,1532.75354,(CM**-1),QHHHD
MODE,12,FREQUENCY=,2282.73047,(CM**-1),QHHHD
MODE,13,FREQUENCY=,3082.06049,(CM**-1),QHHHD
MODE,14,FREQUENCY=,3153.19019,(CM**-1),QHHHD
MODE,15,FREQUENCY=,3153.19094,(CM**-1),QHHHD
,,,,,
13-1-1-2-2,,,,,
MODE,7,FREQUENCY=,1067.84636,(CM**-1),QHHDD
MODE,8,FREQUENCY=,1131.20047,(CM**-1),QHHDD
