Mode Symmetry in 12CH4,Frequency,Isotopologue
A1,3075.9944,CHHHH
E,1586.2445,CHHHH
E,1586.2445,CHHHH
T2 stretch,3211.8457,CHHHH
T2,3211.8457,CHHHH
T2,3211.8457,CHHHH
T2 bend,1349.8133,CHHHH
T2,1349.8133,CHHHH
T2,1349.8133,CHHHH
,,
,,
,3075.9944,QHHHH
,1586.2445,QHHHH
,1586.2445,QHHHH
,3200.3597,QHHHH
,3200.3597,QHHHH
,3200.3597,QHHHH
,1341.4509,QHHHH
,1341.4509,QHHHH
,1341.4509,QHHHH
,,
,,
,2322.0379,CHHHD
,1521.9977,CHHHD
,1521.9977,CHHHD
,3211.6006,CHHHD
,3211.6006,CHHHD
,3115.9725,CHHHD
,1344.0747,CHHHD
,1193.0892,CHHHD
,1193.0892,CHHHD
,,
,,
,,
,2310.6724,QHHHD
,1521.0517,QHHHD
,1521.0517,QHHHD
,3200.0822,QHHHD
,3200.0822,QHHHD
,3112.0965,QHHHD
,1336.8521,QHHHD
,1184.9205,QHHHD
,1184.9205,QHHHD
,,
,,
,2270.4211,CHHDD
,1482.7725,CHHDD
,1373.9051,CHHDD
,3211.3523,CHHDD
,3150.9921,CHHDD
,2378.1067,CHHDD
,1119.8727,CHHDD
,1269.619,CHHDD
,1058.6241,CHHDD
