,e13,1se,eD,1se,e13CD,1se,eDD,1se,Label,,,,,,,,
"This study, no inhibitor",,,,,,,,,,,,,,,,,
NC10 (pMMO),-24.2,0.7,-224.6,6.9,-243.6,7.4,-423.6,13.18,NC10,,,,,,,,
"ANME-2d (nitrate-AOM, mcr)",-25.5,0.8,-218.1,6.5,-244.1,7.3,-407.5,12.36,ANME2d,,,,,,,,
NC10+ANME (pMMO+mcr),-22.1,0.5,-197.7,4.7,-216.8,5.1,-376.2,9.053,NC10+ANME,,,,,,,,
"This study, with inhibitor",,,,,,,,,,,,,,,,,
NC10+ANME-2d (pMMO inhibited),-45.2,2.4,-402.3,21.7,-443.6,23.9,-753.2,40.76,pMMO_inhibit,,,,,,,,
NC10+ANME-2d (mcr inhibited),-9.9,0.8,-84.9,7.0,-92.2,7.7,-155.3,13.19,mcr_inhibit,,,,,,,,
"Previous studies, sulfate-AOM, mcr",,,,,,,,,,,,,,,,,
"Liu et al., 2023, high sulfate 1",-4.9,0.1,-149.0,2.0,-166.0,2.0,-340.0,4,S-AOM,,,,,,,,
"Liu et al., 2023, high sulfate 2",-7.5,0.1,-154.0,1.0,-173.0,2.0,-350.0,3,S-AOM,,,,,,,,
"Ono et al., 2021, B series",-17.0,0.5,-164.9,4.9,-186.0,6.4,,,S-AOM,,,,,,,,
"Ono et al., 2021, C series",-18.3,0.7,-180.0,5.4,-205.3,8.9,,,S-AOM,,,,,,,,
"Previous studies, aerobic oxidation",,,,,,,,,,,,,,,,,
"Krause et al., 2022 (pMMO)",-15.2,0.1,-273.5,1.0,-285.9,1.1,-524.3,2.3,pMMO_P,,,,,,,,
"Wang et al., 2016 (pMMO, 37C)",-22.0,1.0,-202.0,10.0,-219.6,9.8,,,pMMO_P,,,,,,,,
"Wang et al., 2016 (pMMO, 30C)",-12.0,0.3,-105.0,3.0,-115.3,3.0,,,pMMO_P,,,,,,,,
"Li et al., 2024 (pMMO, 27C)",-28.7,2.4,-254.8,20.9,-275.1,22.7,-470.9,38.7,pMMO_P,,,,,,,,
"Li et al., 2024 (pMMO, 21C)",-24.3,0.2,-225.8,2.2,-242.0,2.4,-415.9,4.3,pMMO_P,,,,,,,,
"Haghneghdar et al., 2017 (OH)",-6.3,0.0,-242.4,0.0,-248.1,0.0,-479.2,0,OH,,,,,,,,
"Haghneghdar et al., 2017 (Cl)",-27.2,0.0,-290.8,0.0,-315.1,0.0,-545.5,0,Cl,,,,,,,,
Reduced Mass,,0.0,,,,,,,,,,,,,,,
"Liu et al., 2023",-3.0,0.0,-266.0,0.0,-268.0,0.0,-461.0,0,red_mass,,,,,,,,
