D13CH3D,D12CH2D2,Temperature/oC,p
6.635013373,23.70966541,0,0
5.03699508,16.19575874,50,0
3.925166382,11.29045443,100,0
3.112979095,8.030051093,150,1
2.498845096,5.826150913,200,0
2.025343815,4.307534861,250,0
1.655630782,3.240246028,300,1
1.364077387,2.475724161,350,0
1.132125656,1.918261701,400,0
0.946063994,1.505100862,450,1
0.795639174,1.194315921,500,0
0.673114531,0.957378095,550,0
0.572605228,0.774530212,600,1
0.489600335,0.631861647,650,0
0.420615739,0.519426194,700,0
0.362940227,0.43000995,750,1
0.314448542,0.358311136,800,0
0.273462842,0.300385367,850,0
0.238649362,0.253264764,900,1
0.208940806,0.214692715,950,0
0.18347766,0.182936687,1000,0
0.14263088,0.134797566,1050,1
0.111931698,0.10122821,1100,0
0.088550117,0.077450502,1150,0
0.07053044,0.060386659,1200,1
0.056496599,0.048007114,1250,0
0.0454644,0.038945619,1300,0
