series,run_name,sample_id,rev1,rev2,rev3,gammaCDff2p,gammaCDff2s,gammaDDff2pp,gammaDDff2ps,gammaCDff3,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,solve_seconds,t_end,tmax,event_reached,f_stop
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.2,0.03164808366898983,0.26343890344625204,12.569109538570192,16.951912469815024,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.20672268907563027,0.031136946277557965,0.25981663334406224,12.217628196427066,15.922740009306255,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.21344537815126052,0.030637124366134066,0.25625705357438616,11.878885745629855,14.944027673639912,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.22016806722689078,0.03014804796983686,0.2527571095757968,11.552131353641439,14.012541529745242,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.22689075630252103,0.029669190484820473,0.24931397409961198,11.236681602437068,13.125362369179363,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.23361344537815126,0.02920007165391568,0.24592507241098133,10.931926016487248,12.27991110401736,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.24033613445378152,0.028740245823642624,0.24258801443664563,10.637291185338317,11.473743335034055,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.24705882352941178,0.028289303411727734,0.23930060657478305,10.352253086957141,10.704628415968154,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.253781512605042,0.027846871669344173,0.23606085935667365,10.076345515848319,9.970604894228773,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.2605042016806723,0.02741259094020742,0.23286683822945378,9.809116946314974,9.269771134541173,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.26722689075630257,0.026986122288142678,0.22971671538194097,9.550143405466681,8.600344478498647,0.05239605903625488,80.56972513688488,500.0,True,0.195
