f,ln(c/c0)_median,ln(c/c0)_central,ln(c/c0)_lo_1sigma,ln(c/c0)_hi_1sigma,ln(c/c0)_lo_2sigma,ln(c/c0)_hi_2sigma,ln(c/c0)_lo,ln(c/c0)_hi,ln(d/d0)_median,ln(d/d0)_central,ln(d/d0)_lo_1sigma,ln(d/d0)_hi_1sigma,ln(d/d0)_lo_2sigma,ln(d/d0)_hi_2sigma,ln(d/d0)_lo,ln(d/d0)_hi,DeltaCD_median,DeltaCD_central,DeltaCD_lo_1sigma,DeltaCD_hi_1sigma,DeltaCD_lo_2sigma,DeltaCD_hi_2sigma,DeltaCD_lo,DeltaCD_hi,DeltaDD_median,DeltaDD_central,DeltaDD_lo_1sigma,DeltaDD_hi_1sigma,DeltaDD_lo_2sigma,DeltaDD_hi_2sigma,DeltaDD_lo,DeltaDD_hi
0.4,0.05392727923268804,0.0539272792326506,0.05392727922958062,0.053927279235803156,0.05392727922663729,0.05392727923866058,0.05392727922958062,0.053927279235803156,0.204601142559182,0.20460114255897666,0.20460114254606598,0.20460114257221707,0.20460114253359107,0.2046011425843333,0.20460114254606598,0.20460114257221707,-11.837413976221814,-11.837413976236077,-11.837413976343454,-11.837413976092389,-11.837413976479578,-11.837413975964623,-11.837413976343454,-11.837413976092389,-35.98844537263811,-35.988445372657765,-35.988445373897925,-35.98844537137565,-35.98844537507198,-35.988445370195286,-35.988445373897925,-35.98844537137565
0.4050420168067227,0.053201767559564905,0.053201767559524105,0.05320176755598159,0.05320176756315923,0.05320176755266668,0.053201767566384464,0.05320176755598159,0.05320176756315923,0.20184868324860578,0.2018486832484977,0.2018486832332886,0.2018486832642255,0.2018486832189343,0.20184868327799116,0.2018486832332886,0.2018486832642255,-11.679158625349782,-11.679158625364511,-11.679158625417859,-11.679158625284472,-11.67915862548079,-11.679158625231466,-11.679158625417859,-11.679158625284472,-35.512905165348094,-35.51290516536105,-35.512905165957974,-35.5129051647181,-35.51290516651766,-35.512905164167904,-35.512905165957974,-35.5129051647181
0.4100840336134454,0.052484813726428284,0.05248481372638823,0.05248481372285875,0.05248481372999268,0.05248481371959368,0.05248481373319121,0.05248481372285875,0.05248481372999268,0.1991286858624467,0.19912868586232627,0.19912868584695914,0.1991286858781702,0.1991286858326541,0.1991286858919388,0.19912868584695914,0.1991286858781702,-11.52274363378049,-11.522743633805584,-11.522743633967602,-11.522743633608819,-11.52274363414328,-11.522743633476843,-11.522743633967602,-11.522743633608819,-35.04274683026992,-35.04274683029107,-35.04274683038032,-35.042746830167864,-35.04274683047516,-35.042746830068,-35.04274683038032,-35.042746830167864
0.4151260504201681,0.051776215697572736,0.051776215697583644,0.05177621569568469,0.051776215699468366,0.05177621569414949,0.05177621570118565,0.05177621569568469,0.051776215699468366,0.19644038265390223,0.19644038265393945,0.1964403826458859,0.19644038266197428,0.1964403826393016,0.19644038266919664,0.1964403826458859,0.19644038266197428,-11.368126518878206,-11.368126518890623,-11.3681265189599,-11.368126518797263,-11.36812651903609,-11.368126518737505,-11.3681265189599,-11.368126518797263,-34.577847262354865,-34.57784726237552,-34.577847263382374,-34.57784726135467,-34.5778472643449,-34.577847260508925,-34.577847263382374,-34.57784726135467
0.42016806722689076,0.051075780367638726,0.05107578036763766,0.05107578036740106,0.051075780367877896,0.051075780367218104,0.05107578036814444,0.05107578036740106,0.051075780367877896,0.19378304082535264,0.19378304082532583,0.19378304082452774,0.1937830408262097,0.193783040823893,0.19378304082713246,0.19378304082452774,0.1937830408262097,-11.215266222032419,-11.215266222051824,-11.215266222180956,-11.21526622189591,-11.21526622231954,-11.215266221791198,-11.215266222180956,-11.21526622189591,-34.118087907823906,-34.11808790784248,-34.118087908679286,-34.11808790699343,-34.11808790947958,-34.11808790629094,-34.118087908679286,-34.11808790699343
0.4252100840336135,0.0503833267974722,0.05038332679744272,0.05038332679648232,0.050383326798446405,0.05038332679554912,0.05038332679936054,0.05038332679648232,0.050383326798446405,0.19115597690012626,0.19115597689999664,0.19115597689564948,0.19115597690460376,0.1911559768914114,0.1911559769087817,0.19115597689564948,0.19115597690460376,-11.064122850786482,-11.064122850804377,-11.064122850981962,-11.064122850597322,-11.06412285116768,-11.064122850447008,-11.064122850981962,-11.064122850597322,-33.66335479468282,-33.66335479470093,-33.6633547954052,-33.663354793984574,-33.66335479609756,-33.66335479339092,-33.6633547954052,-33.663354793984574
0.43025210084033616,0.04969867454687779,0.04969867454685717,0.04969867454525398,0.04969867454849645,0.04969867454377602,0.049698674549976486,0.04969867454525398,0.04969867454849645,0.18855850613953917,0.18855850613944708,0.18855850613226693,0.18855850614686762,0.18855850612560063,0.1885585061534248,0.18855850613226693,0.18855850614686762,-10.914658008191042,-10.91465800820976,-10.914658008420542,-10.914658007975879,-10.914658008628924,-10.914658007801581,-10.914658008420542,-10.914658007975879,-33.21353685492442,-33.21353685494056,-33.21353685557232,-33.21353685429932,-33.213536856189116,-33.21353685376954,-33.21353685557232,-33.21353685429932
0.43529411764705883,0.0490216491847894,0.049021649184779574,0.04902164918295948,0.04902164918662892,0.04902164918128749,0.04902164918829838,0.04902164918295948,0.04902164918662892,0.18598996658611158,0.1859899665860373,0.1859899665779126,0.1859899665943737,0.18598996657038736,0.18598996660175954,0.1859899665779126,0.1859899665943737,-10.766834579570808,-10.766834579586407,-10.766834579808135,-10.766834579345934,-10.766834580022312,-10.76683457916239,-10.766834579808135,-10.766834579345934,-32.76852668878729,-32.76852668880248,-32.768526689386604,-32.76852668820944,-32.76852668995323,-32.768526687719834,-32.768526689386604,-32.76852668820944
0.4403361344537815,0.04835208224809065,0.04835208224808742,0.04835208224634633,0.048352082249843976,0.048352082244746325,0.04835208225144932,0.04835208224634633,0.048352082249843976,0.18344971903481067,0.1834497190347884,0.18344971902701335,0.183449719042714,0.18344971901981133,0.18344971904982443,0.18344971902701335,0.183449719042714,-10.620616667255739,-10.62061666726963,-10.620616667484645,-10.620616667039771,-10.620616667689767,-10.620616666861997,-10.620616667484645,-10.620616667039771,-32.3282204313903,-32.32822043140325,-32.328220431947784,-32.32822043085523,-32.32822043247168,-32.328220430396605,-32.328220431947784,-32.32822043085523
0.44537815126050423,0.04768981094414792,0.0476898109441438,0.04768981094267138,0.04768981094562268,0.04768981094131531,0.04768981094699144,0.04768981094267138,0.04768981094562268,0.18093714588377335,0.1809371458837501,0.18093714587715784,0.18093714589046275,0.18093714587104115,0.18093714589652313,0.18093714587715784,0.18093714589046275,-10.475969536584655,-10.475969536597255,-10.475969536790338,-10.475969536389817,-10.475969536973663,-10.475969536230782,-10.475969536790338,-10.475969536389817,-31.892517587627456,-31.89251758763982,-31.8925175881382,-31.89251758713749,-31.89251758861743,-31.89251758671644,-31.8925175881382,-31.89251758713749
