series,run_name,sample_id,rev1,rev2,rev3,gammaCDff2p,gammaCDff2s,gammaDDff2pp,gammaDDff2ps,gammaCDff3,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,solve_seconds,t_end,tmax,event_reached,f_stop
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.4,0.0539272792326506,0.20460114255897666,-11.837413976236077,-35.988445372657765,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.4050420168067227,0.053201767559524105,0.2018486832484977,-11.679158625364511,-35.51290516536105,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.4100840336134454,0.05248481372638823,0.19912868586232627,-11.522743633805584,-35.04274683029107,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.4151260504201681,0.051776215697583644,0.19644038265393945,-11.368126518890623,-34.57784726237552,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.42016806722689076,0.05107578036763766,0.19378304082532583,-11.215266222051824,-34.11808790784248,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.4252100840336135,0.05038332679744272,0.19115597689999664,-11.064122850804377,-33.66335479470093,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.43025210084033616,0.04969867454685717,0.18855850613944708,-10.91465800820976,-33.21353685494056,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.43529411764705883,0.049021649184779574,0.1859899665860373,-10.766834579586407,-32.76852668880248,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.4403361344537815,0.04835208224808742,0.1834497190347884,-10.62061666726963,-32.32822043140325,0.028532981872558594,30.27424646725167,500.0,True,0.395
Irreversible model,central,0,0.0,0.0,0.0,0.9749,1.0,0.9256,0.9255,1.0,0.44537815126050423,0.0476898109441438,0.1809371458837501,-10.475969536597255,-31.89251758763982,0.028532981872558594,30.27424646725167,500.0,True,0.395
