series,run_name,sample_id,rev1,rev2,rev3,gammaCDff2,gammaDDff2,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,solve_seconds,t_end,tmax,event_reached,f_stop
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.2,0.09615011679753215,0.3494153427177035,-20.73871460069278,-64.26460530723118,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.20672268907563027,0.09426209716941006,0.34255509182913885,-20.33583050244224,-63.042646168084346,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.21344537815126052,0.09242930288391556,0.3358954475786007,-19.944575541880823,-61.85496225025089,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.22016806722689078,0.09064859756877548,0.32942501978798155,-19.564293520082632,-60.69964873933826,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.22689075630252103,0.08891710088842339,0.3231333471063758,-19.194381740433922,-59.574952578278975,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.23361344537815126,0.08723216347653473,0.31701080712343416,-18.834285246643994,-58.47925623564255,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.24033613445378152,0.08559136860400747,0.3110486360867908,-18.483490625037017,-57.411065604382244,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.24705882352941178,0.08399244681583223,0.30523858392102415,-18.141525746883204,-56.368999942110435,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.253781512605042,0.0824333327601514,0.2995731574952981,-17.807953807185736,-55.35178893642229,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.2605042016806723,0.08091209170807545,0.29404532884176265,-17.482369533650505,-54.35824872966886,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.26722689075630257,0.07942689858017374,0.2886484528232018,-17.16439819852618,-53.387279178147296,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.2739495798319328,0.07797610464593512,0.28337655420768343,-16.853687077977,-52.43785170748621,0.04170703887939453,40.28366353970489,1000.0,True,0.195
