series,run_name,sample_id,rev1,rev2,rev3,gammaCDff2p,gammaCDff2s,gammaDDff2pp,gammaDDff2ps,gammaCDff3,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,solve_seconds,t_end,tmax,event_reached,f_stop
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.75,-0.010073515192101624,0.062114793888572765,8.799318546556863,13.619878038219882,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7521008403361344,-0.010003282658382497,0.06169656921703116,8.730403362026129,13.45572019222476,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7542016806722689,-0.009932794778037036,0.061276828120729286,8.661371597221708,13.292373658056713,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7563025210084033,-0.009862051333666097,0.06085556808260553,8.592223643013115,13.1298399815081,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7584033613445378,-0.009791052108314467,0.06043278657694014,8.522959891972311,12.968120702478616,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7605042016806722,-0.009719796885472023,0.060008481069300366,8.453580738392292,12.807217355111288,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7626050420168067,-0.009648285449068969,0.059582649016491816,8.384086578302934,12.647131467924714,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7647058823529411,-0.00957651758347448,0.05915528786650549,8.314477809488357,12.487864563946006,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7668067226890757,-0.00950449307349538,0.05872639505846635,8.244754831506219,12.329418160841549,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7689075630252101,-0.009432211704373843,0.058295968022581204,8.174918045703713,12.171793771042193,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7710084033613446,-0.009359673261785844,0.05786400418008778,8.104967855233287,12.014992901867455,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.773109243697479,-0.009286877531838149,0.05743050094320216,8.034904665073167,11.859017055654174,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7752100840336135,-0.00921382418384011,0.056995455436895257,7.964728926465939,11.703869236272693,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7773109243697479,-0.009140511943330735,0.05655886253610034,7.894441450532469,11.549564579003013,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7794117647058824,-0.009066940369711236,0.056120719080237795,7.824042736701118,11.396107535657345,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7815126050420168,-0.008993111025832638,0.055681026656076174,7.753532525268254,11.24347678711883,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7836134453781513,-0.008919023676377608,0.05523978257527694,7.682911238828087,11.09167410589018,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7857142857142857,-0.008844678087195693,0.05479698414183746,7.6121793016747645,10.94070125136175,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7878151260504201,-0.008770068770105896,0.05435259696659968,7.5413349099127345,10.790576898217028,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7899159663865546,-0.008695200715205737,0.0539066497677795,7.470380729027802,10.641285999795397,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.792016806722689,-0.008620073715457395,0.053459139967650726,7.3993171987126205,10.49283020071215,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7941176470588235,-0.00854468754133424,0.053010064838310306,7.328144750369693,10.345211209284345,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7962184873949579,-0.008469041964421083,0.05255942164382385,7.2568638172002595,10.19843072178002,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.7983193277310925,-0.00839313675740066,0.0521072076401527,7.185474834219213,10.052490422613667,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8004201680672269,-0.008316971694045333,0.051653420075082966,7.113978238278195,9.907391984543137,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8025210084033614,-0.008240547763249926,0.0511980590491525,7.042374027282164,9.763121806607787,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8046218487394958,-0.008163862539511698,0.050741116607280055,6.970663440245242,9.619709202141363,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8067226890756303,-0.008086916945539875,0.05028259267207762,6.89884650377159,9.477141408378126,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8088235294117647,-0.00800971106082572,0.049822485169719245,6.826923552010608,9.335416253031406,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8109243697478992,-0.007932244667593444,0.04936079131528306,6.754895029117274,9.194535300010806,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8130252100840336,-0.00785451755120867,0.048897508320269276,6.682761380398119,9.054500075752081,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8151260504201681,-0.007776529500139988,0.04843263339247713,6.610523052335328,8.915312069637306,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8172268907563025,-0.00769828030592383,0.04796616373588279,6.538180492608477,8.776972734409059,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.819327731092437,-0.007619769763125946,0.04749809655052064,6.4657341501109915,8.639483486569196,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8214285714285714,-0.007540997669308127,0.04702842903236131,6.393184474974079,8.502845706777036,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8235294117647058,-0.007461963824991451,0.046557158373195615,6.320531918586912,8.36706074023882,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8256302521008403,-0.007382667895821681,0.04608428143731592,6.247776983881833,8.232131626719104,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8277310924369747,-0.007303109328590625,0.04560979456359549,6.174920256493395,8.098064161628335,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8298319327731092,-0.007223288325845114,0.04513369585249786,6.101962048592129,7.9648546539189065,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8319327731092437,-0.0071432050386138965,0.044655983273492246,6.0289026928829,7.832500052131536,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8340336134453782,-0.007062859256827069,0.044176653938167394,5.955742655964618,7.701001835886255,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8361344537815126,-0.006982250773430199,0.043695704953720126,5.882482405788007,7.570361449231017,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8382352941176471,-0.006901379384350796,0.043213133422835406,5.809122411676445,7.440580301016841,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8403361344537815,-0.0068202448884632574,0.042728936443568614,5.73566314434629,7.311659765266028,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.842436974789916,-0.006738847087554515,0.042243111109229126,5.662105075926604,7.183601181532195,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8445378151260504,-0.006657185786292016,0.041755654508263504,5.588448679978805,7.056405855252852,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8466386554621849,-0.006575260792190487,0.041266563724138984,5.514694431517718,6.930075058097029,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8487394957983193,-0.006493071915579046,0.040775835835230013,5.440842807030988,6.804610028304502,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8508403361344538,-0.006410618778839453,0.040283467453281846,5.366894351504556,6.680014351364455,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8529411764705882,-0.006327901050767328,0.03978945528975619,5.292849596420306,6.556291039468176,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8550420168067226,-0.006244918871868589,0.039293797185062346,5.218708910147127,6.433437220918182,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8571428571428571,-0.006161672259489504,0.03879649067087615,5.144472706125587,6.311451553102705,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8592436974789917,-0.00607816101820984,0.03829753275225447,5.070141474938116,6.190335348616072,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8613445378151261,-0.005994384955434636,0.037796920428856684,4.995715708744213,6.070089886846325,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.8634453781512605,-0.005910343881362351,0.03729465069483048,4.921195901299666,5.950716414295436,0.027194976806640625,63.81178950558013,500.0,True,0.745
Near-equilibrium model,central,0,0.8,0.95,0.95,0.9749,1.0,0.9256,0.9255,1.0,0.865546218487395,-0.005826037608954205,0.03679072053869882,4.846582547977928,5.832216144895582,0.027194976806640625,63.81178950558013,500.0,True,0.745
