series,run_name,rev1,rev2,rev3,gammaCDff2,gammaDDff2,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,central_rev1,central_rev2,central_rev3,central_gammaCDff2,central_gammaDDff2,solve_seconds,t_end,tmax,event_reached,f_stop
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.1,0.012460876999587261,0.2078687845924797,26.01751289998304,74.07995132512698,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.10756302521008404,0.012141132998981398,0.2054488180265054,25.45869475381938,72.41046196702678,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.11512605042016807,0.01183733862885097,0.20306854487511056,24.921103805888773,70.80899394759275,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.12268907563025211,0.011547925379385551,0.2007249776295962,24.402900336659012,69.26956882411531,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.13025210084033614,0.011271618462703444,0.19841561574138195,23.902589325627304,67.78736350557017,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.13781512605042018,0.011007176261527656,0.1961378642178778,23.418639413348313,66.35731124071536,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.1453781512605042,0.010753638796673017,0.19388981382187173,22.94992277357524,64.97579955243147,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.15294117647058825,0.010510122492701102,0.19166961255823478,22.495366132670384,63.63933894563629,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.16050420168067228,0.010275888731237654,0.18947572490308345,22.05408122499114,62.34508050776524,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.16806722689075632,0.010050276472859979,0.18730673268596007,21.62526030758069,61.09042218733678,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.17563025210084032,0.009832662309056963,0.1851612569942648,21.20812833994341,59.87284883591497,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.18319327731092439,0.009622511280371913,0.18303812261624308,20.802030825093567,58.690270809225126,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.1907563025210084,0.009419265122774642,0.18093598157945065,20.40622704432746,57.54020586772428,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.19831932773109245,0.009222486240995607,0.17885382515249884,20.02016448107225,56.42087354145219,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.20588235294117646,0.00903181559827173,0.17679085209360562,19.643408180187716,55.33092447977948,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.21344537815126052,0.008846840275241252,0.17474600074259722,19.275391700261636,54.26844812715205,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.22100840336134453,0.008667245571386038,0.17271855564670782,18.915725926412634,53.2322294060808,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.22857142857142856,0.00849275219830158,0.17070787822718117,18.564067523934888,52.221209632559415,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.2361344537815126,0.008323037387692096,0.16871309125933306,18.219958570561822,51.23383076120542,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
