,a13,1se,aD,1se,a13CD,1se,aDD,1se,gamma13CD,1se,gammaDD,1se,Label
"This study, no inhibitor",,,,,,,,,,,,,
NC10 (pMMO),0.9758,0.0007,0.7754,0.0069,0.7564,0.0074,0.5764,0.0132,0.9997,0.0133,0.9587,0.0277,NC10
"ANME-2d (nitrate-AOM, mcr)",0.9745,0.0008,0.7819,0.0065,0.7559,0.0073,0.5925,0.0124,0.9921,0.0127,0.9690,0.0259,ANME2d
NC10+ANME (pMMO+mcr),0.9779,0.0005,0.8023,0.0047,0.7832,0.0051,0.6238,0.0091,0.9983,0.0088,0.9691,0.0180,NC10+ANME
"This study, with inhibitor",,,,,,,,,,,,,
NC10+ANME-2d (pMMO inhibited),0.9548,0.0024,0.5977,0.0217,0.5564,0.0239,0.2468,0.0408,0.9750,0.0549,0.6908,0.1246,pMMO_inhibit
NC10+ANME-2d (mcr inhibited),0.9901,0.0008,0.9151,0.0070,0.9078,0.0077,0.8447,0.0132,1.0020,0.0115,1.0087,0.0221,mcr_inhibit
"Previous studies, sulfate-AOM, mcr",,,,,,,,,,,,,
"Liu et al., 2023, high sulfate 1",0.9951,0.0001,0.8510,0.0020,0.8340,0.0020,0.6600,0.0040,0.9850,0.0020,0.9120,0.0060,S-AOM
"Liu et al., 2023, high sulfate 2",0.9925,0.0001,0.8460,0.0010,0.8270,0.0020,0.6500,0.0030,0.9850,0.0020,0.9090,0.0050,S-AOM
"Ono et al., 2021, B series",0.9830,0.0005,0.8351,0.0049,0.8140,0.0064,,,0.9916,0.0004,,,S-AOM
"Ono et al., 2021, C series",0.9817,0.0007,0.8200,0.0054,0.7947,0.0089,,,0.9872,0.0010,,,S-AOM
"Previous studies, aerobic oxidation",,,,,,,,,,,,,
"Krause et al., 2022 (pMMO)",0.9849,0.0001,0.7265,0.0010,0.7141,0.0011,0.4757,0.0023,0.9981,0.0017,0.9013,0.0045,pMMO_P
"Wang et al., 2016 (pMMO, 37C)",0.9780,0.0010,0.7980,0.0100,0.7804,0.0098,,,1.0000,0.0007,,,pMMO_P
"Wang et al., 2016 (pMMO, 30C)",0.9880,0.0003,0.8950,0.0030,0.8847,0.0030,,,1.0005,0.0003,,,pMMO_P
"Li et al., 2024 (pMMO, 27C)",0.9713,0.0024,0.7452,0.0209,0.7249,0.0227,0.5291,0.0387,1.0015,0.0422,0.9528,0.0878,pMMO_P
"Li et al., 2024 (pMMO, 21C)",0.9757,0.0002,0.7742,0.0022,0.7580,0.0024,0.5841,0.0043,1.0035,0.0043,0.9745,0.0091,pMMO_P
"Haghneghdar et al., 2017 (OH)",0.9937,,0.7576,,0.7519,,0.5208,,0.9987,,0.9075,,OH
"Haghneghdar et al., 2017 (Cl)",0.9728,,0.7092,,0.6849,,0.4545,,0.9928,,0.9037,,Cl
Reduced Mass,,,,,,,,,,,,,
"Liu et al., 2023",0.9970,,0.7340,,0.7320,,0.5390,,1.0003,,1.0005,,red_mass
