Sample,Description,d13C,cse,dD,dse,D13CH3D,cdse,D12CH2D2,ddse,f,fse,label
This study,Radboud-CH4tank-B,-41.108,0.03,-169.12,0.031,3.131,0.151,7.038,0.71,1,,0
This study,Radboud-NC10(R10)-CtrlC,-41.098,0.04,-168.932,0.032,2.495,0.137,7.722,0.791,1,,1
This study,Radboud-NC10(R10)-T1B,-35.813,0.021,-120.818,0.032,1.329,0.151,4.155,0.86,0.858622856,0.02183211,1
This study,Radboud-NC10(R10)-T2B,-33.464,0.033,-102.587,0.057,0.309,0.17,-0.286,0.7,0.739804116,0.024114677,1
This study,Radboud-NC10(R10)-T3C,-30.752,0.005,-81.771,0.031,0.052,0.143,-4.595,0.622,0.660096132,0.024584024,1
This study,Radboud-NC10(R10)-T4A,-27.158,0.014,-52.897,0.027,-0.413,0.174,-7.869,0.577,0.53163802,0.011676138,1
,,,,,,,,,,,,
This study,Radboud-NC10+ANME-CTRLB,-41.381,0.011,-169.497,0.051,3.127,0.193,8.286,0.657,1,,2
This study,NC10+ANME T1B,-38.148,0.011,-146.563,0.033,2.787,0.155,1.513,0.711,0.80846908,0.021832112,2
This study,NC10+ANME T2C,-34.78,0.005,-118.821,0.028,2.098,0.118,2.96,0.786,0.740813572,0.027656626,2
This study,NC10+ANME T3C,-31.212,0.037,-93.704,0.033,0.898,0.158,-4.486,0.635,0.64930718,0.024584024,2
This study,Radboud-NC10+ANME-T4B,-26.354,0.029,-50.933,0.061,0.157,0.221,-6.292,0.763,0.527678279,0.014205454,2
This study,NC10+ANME T4A,-24.629,0.006,-22.204,0.028,1.7,0.128,-5.751,0.644,0.429391497,0.011676138,2
,,,,,,,,,,,,
This study,R17_ctrl1,-41.226,0.004,-169.047,0.027,2.641,0.156,9.084,0.655,1,,3
This study,R17_T2_C2,-35.73,0.005,-132.166,0.025,2.431,0.181,0.734,0.662,0.736302701,0.022362847,3
This study,R17_T1_C2,-32.581,0.005,-109.445,0.02,2.063,0.172,-2.298,0.54,0.725395816,0.021915455,3
This study,R17_T2_C1_rerun,-26.958,0.008,-63.028,0.041,3.092,0.199,-7.78,0.68,0.554590704,0.01691911,3
This study,R17_T3_C2,-23.234,0.003,-17.568,0.087,3.287,0.15,-11.422,0.615,0.492094032,0.015218639,3
,,,,,,,,,,,,
