Description,lnf,lnfse,ln(c/c0),lncse,ln(d/d0),lndse,ln(cd/cd0),lncdse,ln(dd/dd0),lnddse,label
Radboud-CH4tank-B,0,0,,,,,,,,,
Radboud-NC10(R10)-CtrlC,0,0,0,5.90E-05,0,5.45E-05,0,0.000178103,0,0.001112486,1
Radboud-NC10(R10)-T1B,0.152425503,0.025426891,0.005496379,4.71E-05,0.056280309,5.30E-05,0.060612075,0.000192227,0.109014215,0.001163271,1
Radboud-NC10(R10)-T2B,0.301369836,0.03259603,0.007929666,5.39E-05,0.076804559,7.43E-05,0.082550983,0.000200223,0.145630582,0.001045607,1
Radboud-NC10(R10)-T3C,0.4153698,0.037243097,0.010731633,4.20E-05,0.099735194,5.12E-05,0.108027177,0.000187953,0.187172827,0.001000764,1
Radboud-NC10(R10)-T4A,0.631792435,0.021962571,0.014432805,4.41E-05,0.130696231,4.79E-05,0.142223206,0.000212567,0.245799362,0.000974078,1
,,,,,,,,,,,
Radboud-NC10+ANME-CTRLB,0,0,0,1.62E-05,0,8.68E-05,0,0.000258419,0,0.000913726,2
NC10+ANME T1B,0.212612844,0.027004263,0.003366886,1.62E-05,0.027240184,7.26E-05,0.030267641,0.000236255,0.047741001,0.000957699,2
NC10+ANME T2C,0.300006275,0.037332774,0.006862348,1.26E-05,0.059229242,6.91E-05,0.065066283,0.000215264,0.113164603,0.001014803,2
NC10+ANME T3C,0.431849361,0.037861932,0.010552099,3.99E-05,0.087334422,7.14E-05,0.09566268,0.00023613,0.16367425,0.00131156,2
Radboud-NC10+ANME-T4B,0.639268501,0.026920672,0.015554081,3.19E-05,0.133447855,8.89E-05,0.146038359,0.000279021,0.252333794,0.000992211,2
NC10+ANME T4A,0.845386196,0.02719229,0.017324204,1.30E-05,0.163269518,6.78E-05,0.179171228,0.000220994,0.312521589,0.0009102,2
,,,,,,,,,,,
R17_ctrl1,0,0,0,5.90E-06,0,4.60E-05,0,0.000215034,0,0.000920989,3
R17_T2_C2,0.306113966,0.030371812,0.005715953,6.66E-06,0.043427217,4.34E-05,0.048934101,0.000234321,0.078543709,0.000926885,3
R17_T1_C2,0.32103782,0.03021172,0.008976316,6.64E-06,0.069271629,3.95E-05,0.077672005,0.000228143,0.127198791,0.000844519,3
R17_T2_C1_rerun,0.589524908,0.030507381,0.014771862,9.22E-06,0.120080164,5.45E-05,0.135302537,0.000263394,0.223307299,0.000937389,3
R17_T3_C2,0.709085459,0.030926282,0.01859173,5.18E-06,0.167457895,9.43E-05,0.1866937,0.000196377,0.314383968,0.000880343,3
,,,,,,,,,,,
R66_Oct_ctrl1,0,0,0,1.03E-05,0,5.11E-05,0,0.000303301,0,0.000924395,4
R66_Oct_T2_C3,0.2163604,0.026428567,0.007998364,9.58E-06,0.067631024,6.50E-05,0.074946358,0.000294713,0.124818906,0.001022927,4
R66_Oct_T2_C2,0.237642683,0.026428567,0.009552168,8.39E-06,0.07632071,4.70E-05,0.084871233,0.000279539,0.143798078,0.000900205,4
R66_Oct_T3_C1,0.290308782,0.026746841,0.016171365,1.18E-05,0.138086719,5.94E-05,0.150198677,0.00031624,0.258250815,0.001168437,4o
R66_Oct_T3_C2,0.374827978,0.026746842,0.018372158,4.36E-05,0.16778446,9.66E-05,0.184658852,0.000293253,0.314199346,0.00093779,4
,,,,,,,,,,,
R66_BES_ctrl1,0,0,0,7.37E-06,0,5.45E-05,0,0.000232691,0,0.001083544,5
R66_BES_T1_C1,0.264036672,0.05894373,0.000395188,8.14E-06,0.007244761,5.26E-05,0.007549228,0.000306868,0.013346035,0.00102996,5
R66_BES_T3_C3,0.43727785,0.059241661,0.004633364,8.94E-06,0.040480573,5.26E-05,0.044372278,0.000239242,0.074439457,0.001085548,5
R66_BES_T3_C1_refocus,0.5007693,0.059241661,0.004866909,7.36E-06,0.041941009,6.94E-05,0.045015767,0.000244728,0.075885616,0.001047911,5
