,Mode,,Frequency,,Isotopologue
12-1-1-1-1,,,,,
MODE,1,FREQUENCY=,-142.61738,(CM**-1),CHHHH
MODE,341,FREQUENCY=,81.71191,(CM**-1),CHHHH
MODE,342,FREQUENCY=,94.28631,(CM**-1),CHHHH
MODE,343,FREQUENCY=,128.354,(CM**-1),CHHHH
MODE,344,FREQUENCY=,131.37708,(CM**-1),CHHHH
MODE,345,FREQUENCY=,146.1636,(CM**-1),CHHHH
MODE,346,FREQUENCY=,207.78734,(CM**-1),CHHHH
MODE,347,FREQUENCY=,220.6152,(CM**-1),CHHHH
MODE,348,FREQUENCY=,315.12021,(CM**-1),CHHHH
MODE,349,FREQUENCY=,355.96342,(CM**-1),CHHHH
MODE,350,FREQUENCY=,400.1629,(CM**-1),CHHHH
MODE,351,FREQUENCY=,434.24919,(CM**-1),CHHHH
MODE,352,FREQUENCY=,466.19765,(CM**-1),CHHHH
MODE,353,FREQUENCY=,608.16148,(CM**-1),CHHHH
MODE,354,FREQUENCY=,945.19693,(CM**-1),CHHHH
MODE,355,FREQUENCY=,1429.21419,(CM**-1),CHHHH
MODE,356,FREQUENCY=,1438.09559,(CM**-1),CHHHH
MODE,357,FREQUENCY=,2593.72917,(CM**-1),CHHHH
MODE,358,FREQUENCY=,3141.28119,(CM**-1),CHHHH
MODE,359,FREQUENCY=,3307.9129,(CM**-1),CHHHH
MODE,360,FREQUENCY=,3319.45532,(CM**-1),CHHHH
,,,,,
,,,,,
12-1-1-1-2,,,,,
MODE,1,FREQUENCY=,-142.61745,(CM**-1),CHHHD
MODE,341,FREQUENCY=,81.61812,(CM**-1),CHHHD
MODE,342,FREQUENCY=,93.45759,(CM**-1),CHHHD
MODE,343,FREQUENCY=,124.4241,(CM**-1),CHHHD
MODE,344,FREQUENCY=,128.97304,(CM**-1),CHHHD
MODE,345,FREQUENCY=,146.14565,(CM**-1),CHHHD
MODE,346,FREQUENCY=,207.42209,(CM**-1),CHHHD
MODE,347,FREQUENCY=,220.53048,(CM**-1),CHHHD
MODE,348,FREQUENCY=,232.37285,(CM**-1),CHHHD
MODE,349,FREQUENCY=,351.09494,(CM**-1),CHHHD
MODE,350,FREQUENCY=,399.01039,(CM**-1),CHHHD
MODE,351,FREQUENCY=,432.42023,(CM**-1),CHHHD
MODE,352,FREQUENCY=,464.40705,(CM**-1),CHHHD
MODE,353,FREQUENCY=,607.84728,(CM**-1),CHHHD
MODE,354,FREQUENCY=,686.02971,(CM**-1),CHHHD
MODE,355,FREQUENCY=,1429.20729,(CM**-1),CHHHD
MODE,356,FREQUENCY=,1438.09311,(CM**-1),CHHHD
MODE,357,FREQUENCY=,1863.09371,(CM**-1),CHHHD
MODE,358,FREQUENCY=,3141.28018,(CM**-1),CHHHD
MODE,359,FREQUENCY=,3307.91239,(CM**-1),CHHHD
MODE,360,FREQUENCY=,3319.45424,(CM**-1),CHHHD
,,,,,
,,,,,
12-1-1-2-1,,,,,
MODE,1,FREQUENCY=,-142.08279,(CM**-1),CHHDH
MODE,341,FREQUENCY=,78.12013,(CM**-1),CHHDH
MODE,342,FREQUENCY=,90.04791,(CM**-1),CHHDH
MODE,343,FREQUENCY=,128.3071,(CM**-1),CHHDH
MODE,344,FREQUENCY=,128.4727,(CM**-1),CHHDH
MODE,345,FREQUENCY=,133.38524,(CM**-1),CHHDH
MODE,346,FREQUENCY=,206.73797,(CM**-1),CHHDH
MODE,347,FREQUENCY=,218.15851,(CM**-1),CHHDH
MODE,348,FREQUENCY=,314.45513,(CM**-1),CHHDH
MODE,349,FREQUENCY=,345.05949,(CM**-1),CHHDH
MODE,350,FREQUENCY=,356.20516,(CM**-1),CHHDH
MODE,351,FREQUENCY=,403.16731,(CM**-1),CHHDH
MODE,352,FREQUENCY=,449.63803,(CM**-1),CHHDH
MODE,353,FREQUENCY=,570.65503,(CM**-1),CHHDH
MODE,354,FREQUENCY=,945.17032,(CM**-1),CHHDH
MODE,355,FREQUENCY=,1202.26362,(CM**-1),CHHDH
MODE,356,FREQUENCY=,1425.23667,(CM**-1),CHHDH
MODE,357,FREQUENCY=,2377.39874,(CM**-1),CHHDH
MODE,358,FREQUENCY=,2593.70908,(CM**-1),CHHDH
MODE,359,FREQUENCY=,3209.74795,(CM**-1),CHHDH
MODE,360,FREQUENCY=,3313.10719,(CM**-1),CHHDH
,,,,,
,,,,,
12-1-2-1-1,,,,,
MODE,1,FREQUENCY=,-142.11465,(CM**-1),CHDHH
MODE,341,FREQUENCY=,80.14718,(CM**-1),CHDHH
MODE,342,FREQUENCY=,91.20991,(CM**-1),CHDHH
MODE,343,FREQUENCY=,125.36251,(CM**-1),CHDHH
MODE,344,FREQUENCY=,128.30496,(CM**-1),CHDHH
MODE,345,FREQUENCY=,131.42053,(CM**-1),CHDHH
MODE,346,FREQUENCY=,205.33451,(CM**-1),CHDHH
MODE,347,FREQUENCY=,220.38206,(CM**-1),CHDHH
MODE,348,FREQUENCY=,305.63187,(CM**-1),CHDHH
MODE,349,FREQUENCY=,353.06978,(CM**-1),CHDHH
MODE,350,FREQUENCY=,363.41316,(CM**-1),CHDHH
MODE,351,FREQUENCY=,404.16604,(CM**-1),CHDHH
MODE,352,FREQUENCY=,435.24594,(CM**-1),CHDHH
MODE,353,FREQUENCY=,578.21946,(CM**-1),CHDHH
MODE,354,FREQUENCY=,945.09983,(CM**-1),CHDHH
MODE,355,FREQUENCY=,1196.50758,(CM**-1),CHDHH
MODE,356,FREQUENCY=,1431.91389,(CM**-1),CHDHH
MODE,357,FREQUENCY=,2381.28662,(CM**-1),CHDHH
MODE,358,FREQUENCY=,2593.71181,(CM**-1),CHDHH
MODE,359,FREQUENCY=,3208.45344,(CM**-1),CHDHH
MODE,360,FREQUENCY=,3308.97406,(CM**-1),CHDHH
,,,,,
,,,,,
12-2-1-1-1,,,,,
MODE,1,FREQUENCY=,-140.23302,(CM**-1),CDHHH
MODE,341,FREQUENCY=,76.94106,(CM**-1),CDHHH
MODE,342,FREQUENCY=,90.95951,(CM**-1),CDHHH
MODE,343,FREQUENCY=,127.57028,(CM**-1),CDHHH
MODE,344,FREQUENCY=,130.107,(CM**-1),CDHHH
MODE,345,FREQUENCY=,131.97912,(CM**-1),CDHHH
MODE,346,FREQUENCY=,207.24827,(CM**-1),CDHHH
MODE,347,FREQUENCY=,220.46856,(CM**-1),CDHHH
MODE,348,FREQUENCY=,303.28125,(CM**-1),CDHHH
MODE,349,FREQUENCY=,339.76159,(CM**-1),CDHHH
MODE,350,FREQUENCY=,356.17651,(CM**-1),CDHHH
MODE,351,FREQUENCY=,406.39791,(CM**-1),CDHHH
MODE,352,FREQUENCY=,464.13416,(CM**-1),CDHHH
MODE,353,FREQUENCY=,580.01199,(CM**-1),CDHHH
MODE,354,FREQUENCY=,945.14758,(CM**-1),CDHHH
MODE,355,FREQUENCY=,1208.03694,(CM**-1),CDHHH
MODE,356,FREQUENCY=,1425.57265,(CM**-1),CDHHH
MODE,357,FREQUENCY=,2373.08578,(CM**-1),CDHHH
MODE,358,FREQUENCY=,2593.72593,(CM**-1),CDHHH
MODE,359,FREQUENCY=,3209.35107,(CM**-1),CDHHH
MODE,360,FREQUENCY=,3318.87504,(CM**-1),CDHHH
,,,,,
,,,,,
12-1-1-2-2,,,,,
MODE,1,FREQUENCY=,-142.08273,(CM**-1),CHHDD
MODE,341,FREQUENCY=,78.01448,(CM**-1),CHHDD
MODE,342,FREQUENCY=,89.42963,(CM**-1),CHHDD
MODE,343,FREQUENCY=,124.36018,(CM**-1),CHHDD
MODE,344,FREQUENCY=,126.82774,(CM**-1),CHHDD
MODE,345,FREQUENCY=,132.45374,(CM**-1),CHHDD
MODE,346,FREQUENCY=,206.35201,(CM**-1),CHHDD
MODE,347,FREQUENCY=,218.12592,(CM**-1),CHHDD
MODE,348,FREQUENCY=,232.21841,(CM**-1),CHHDD
MODE,349,FREQUENCY=,343.58858,(CM**-1),CHHDD
MODE,350,FREQUENCY=,351.74239,(CM**-1),CHHDD
MODE,351,FREQUENCY=,402.56745,(CM**-1),CHHDD
MODE,352,FREQUENCY=,446.15081,(CM**-1),CHHDD
MODE,353,FREQUENCY=,570.12316,(CM**-1),CHHDD
MODE,354,FREQUENCY=,686.02033,(CM**-1),CHHDD
MODE,355,FREQUENCY=,1202.25104,(CM**-1),CHHDD
MODE,356,FREQUENCY=,1425.23461,(CM**-1),CHHDD
MODE,357,FREQUENCY=,1863.06264,(CM**-1),CHHDD
MODE,358,FREQUENCY=,2377.39959,(CM**-1),CHHDD
MODE,359,FREQUENCY=,3209.74681,(CM**-1),CHHDD
MODE,360,FREQUENCY=,3313.10614,(CM**-1),CHHDD
,,,,,
,,,,,
12-1-2-1-2,,,,,
MODE,1,FREQUENCY=,-142.11423,(CM**-1),CHDHD
MODE,341,FREQUENCY=,80.06806,(CM**-1),CHDHD
MODE,342,FREQUENCY=,90.46395,(CM**-1),CHDHD
MODE,343,FREQUENCY=,123.92223,(CM**-1),CHDHD
MODE,344,FREQUENCY=,125.80305,(CM**-1),CHDHD
MODE,345,FREQUENCY=,128.9432,(CM**-1),CHDHD
MODE,346,FREQUENCY=,204.80571,(CM**-1),CHDHD
MODE,347,FREQUENCY=,220.26459,(CM**-1),CHDHD
MODE,348,FREQUENCY=,231.83796,(CM**-1),CHDHD
MODE,349,FREQUENCY=,344.93557,(CM**-1),CHDHD
MODE,350,FREQUENCY=,353.70828,(CM**-1),CHDHD
MODE,351,FREQUENCY=,404.10942,(CM**-1),CHDHD
MODE,352,FREQUENCY=,434.40258,(CM**-1),CHDHD
MODE,353,FREQUENCY=,578.19883,(CM**-1),CHDHD
MODE,354,FREQUENCY=,685.81783,(CM**-1),CHDHD
MODE,355,FREQUENCY=,1196.49263,(CM**-1),CHDHD
MODE,356,FREQUENCY=,1431.9121,(CM**-1),CHDHD
MODE,357,FREQUENCY=,1863.05532,(CM**-1),CHDHD
MODE,358,FREQUENCY=,2381.29392,(CM**-1),CHDHD
MODE,359,FREQUENCY=,3208.45323,(CM**-1),CHDHD
