Label,Mode,Frequency,Isotopologue
12-1-1-1-1,,,
MODE,13,5.07099,CHHHH
MODE,14,8.88343,CHHHH
MODE,15,16.09624,CHHHH
MODE,16,19.14979,CHHHH
MODE,17,22.5233,CHHHH
MODE,18,24.32731,CHHHH
MODE,19,29.56865,CHHHH
MODE,20,29.84805,CHHHH
MODE,21,32.66768,CHHHH
MODE,22,35.38175,CHHHH
MODE,23,37.55529,CHHHH
MODE,24,42.02344,CHHHH
MODE,25,43.66519,CHHHH
MODE,26,46.13847,CHHHH
MODE,27,49.13043,CHHHH
MODE,28,53.05615,CHHHH
MODE,29,57.49398,CHHHH
MODE,30,60.25886,CHHHH
MODE,31,62.64485,CHHHH
MODE,32,67.34021,CHHHH
MODE,33,68.51576,CHHHH
MODE,34,71.48893,CHHHH
MODE,35,73.45801,CHHHH
MODE,36,75.62222,CHHHH
MODE,37,80.51888,CHHHH
MODE,38,83.70787,CHHHH
MODE,39,91.16193,CHHHH
MODE,40,95.16289,CHHHH
MODE,41,96.41449,CHHHH
MODE,42,107.6025,CHHHH
MODE,43,108.02292,CHHHH
MODE,44,108.11401,CHHHH
MODE,45,112.70933,CHHHH
MODE,46,118.74727,CHHHH
MODE,47,121.48699,CHHHH
MODE,48,124.80233,CHHHH
MODE,49,130.11642,CHHHH
MODE,50,134.32348,CHHHH
MODE,51,143.78525,CHHHH
MODE,52,144.55929,CHHHH
MODE,53,147.42393,CHHHH
MODE,54,152.39364,CHHHH
MODE,55,156.63665,CHHHH
MODE,56,164.81088,CHHHH
MODE,57,169.10929,CHHHH
MODE,58,184.57025,CHHHH
MODE,59,193.68646,CHHHH
MODE,60,203.42116,CHHHH
MODE,61,205.62402,CHHHH
MODE,62,218.90987,CHHHH
MODE,63,222.64763,CHHHH
MODE,64,225.71257,CHHHH
MODE,65,233.90055,CHHHH
MODE,66,247.2795,CHHHH
MODE,67,249.53909,CHHHH
MODE,68,259.52543,CHHHH
MODE,69,268.46645,CHHHH
MODE,70,272.26764,CHHHH
MODE,71,297.27405,CHHHH
MODE,72,303.94611,CHHHH
MODE,73,316.37787,CHHHH
MODE,74,322.73696,CHHHH
MODE,75,323.44688,CHHHH
MODE,76,332.53504,CHHHH
MODE,77,335.97784,CHHHH
MODE,78,338.48674,CHHHH
MODE,79,340.53737,CHHHH
MODE,80,362.36654,CHHHH
MODE,81,379.52626,CHHHH
MODE,82,382.57231,CHHHH
MODE,83,393.00416,CHHHH
MODE,84,405.10934,CHHHH
MODE,85,423.62241,CHHHH
MODE,86,425.69073,CHHHH
MODE,87,426.06719,CHHHH
MODE,88,433.96771,CHHHH
MODE,89,436.81496,CHHHH
MODE,90,445.23215,CHHHH
MODE,91,453.62442,CHHHH
MODE,92,453.89697,CHHHH
MODE,93,464.99504,CHHHH
MODE,94,467.73831,CHHHH
MODE,95,471.29036,CHHHH
MODE,96,475.73895,CHHHH
MODE,97,509.37348,CHHHH
MODE,98,509.91423,CHHHH
MODE,99,526.71366,CHHHH
MODE,100,526.94305,CHHHH
MODE,101,530.15202,CHHHH
MODE,102,553.31233,CHHHH
MODE,103,556.56809,CHHHH
MODE,104,563.73685,CHHHH
MODE,105,565.41257,CHHHH
MODE,106,567.31537,CHHHH
MODE,107,574.45117,CHHHH
MODE,108,588.94836,CHHHH
MODE,109,593.33583,CHHHH
MODE,110,606.48431,CHHHH
MODE,111,620.95968,CHHHH
MODE,112,623.94677,CHHHH
MODE,113,637.98871,CHHHH
MODE,114,651.35074,CHHHH
MODE,115,658.0477,CHHHH
MODE,116,658.25901,CHHHH
MODE,117,661.14409,CHHHH
MODE,118,664.23299,CHHHH
MODE,119,688.71896,CHHHH
MODE,120,701.59583,CHHHH
