Time/days,0.00,0.73,1.67,2.71,3.77,4.75,5.81,7.68,8.69,10.69,,,,,,,,,,,,
NC10_ANME,456.68,413.51,414.20,394.37,367.04,358.16,347.38,352.71,330.18,218.54,,,,,,,,,,,,
NC10_ANME_se,0.00,9.56,14.20,12.39,5.67,16.42,7.85,42.46,66.19,25.24,,,,,,,,,,,,
Time/days,0.00,0.73,2.71,5.81,8.69,10.69,,,,,,,,,,,,,,,,
NC10_ANME_ctrl,456.68,450.48,451.20,465.17,448.03,430.10,,,,,,,,,,,,,,,,
NC10_ANME_ctrl_se,12.24,11.33,11.88,16.10,20.25,19.40,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time/days,0,1.80,2.80,3.04,3.81,,,,,,,,,,,,,,,,,
NC10,350.15,295.09,264.85,225.26,175.07,,,,,,,,,,,,,,,,,
NC10_se,6.53,14.47,11.99,29.38,29.62,,,,,,,,,,,,,,,,,
Time/days,0,2.80,3.81,,,,,,,,,,,,,,,,,,,
NC10_ctrl,301.93,291.96,289.60,,,,,,,,,,,,,,,,,,,
NC10_ctrl_se,23.58,23.64,17.12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time/days,0.00,2.35,5.35,10.35,16.35,20.35,,,,,,,,,,,,,,,,
ANME,218.03,192.63,198.69,159.35,117.80,108.39,,,,,,,,,,,,,,,,
ANME_se,3.64,,,,,,,,,,,,,,,,,,,,,
Time/days,0.00,10.35,20.35,,,,,,,,,,,,,,,,,,,
ANME_ctrl,212.21,185.43,183.46,,,,,,,,,,,,,,,,,,,
ANME_ctrl_se,5.34,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time/days,0.00,0.38,3.07,3.77,6.77,14.02,,,,,,,,,,,,,,,,
Oct,200.88,187.90,180.01,169.63,159.77,144.60,,,,,,,,,,,,,,,,
Oct_se,1.08,3.35,2.74,7.55,1.79,6.13,,,,,,,,,,,,,,,,
Time/days,0.00,6.77,14.02,,,,,,,,,,,,,,,,,,,
Oct_ctrl,212.21,212.34,215.04,,,,,,,,,,,,,,,,,,,
Oct_ctrl_se,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time/days,0.00,3.00,8.00,13.00,21.00,,,,,,,,,,,,,,,,,
BES,216.14,198.41,177.78,189.75,142.95,,,,,,,,,,,,,,,,,
BES_se,5.93,7.81,11.81,5.00,13.95,,,,,,,,,,,,,,,,,
Time/days,0.00,8.00,21.00,,,,,,,,,,,,,,,,,,,
BES_ctrl,225.21,199.32,211.94,,,,,,,,,,,,,,,,,,,
BES_ctrl_se,,,,,,,,,,,,,,,,,,,,,,
