f_100,d13C_100,dD_100,D13CH3D_100,D12CH2D2_100,f_66,d13C_66,dD_66,D13CH3D_66,D12CH2D2_66,f_33,d13C_33,dD_33,D13CH3D_33,D12CH2D2_33,f_0,d13C_0,dD_0,D13CH3D_0,D12CH2D2_0
1,-41.36912,-169.49184,3.10812,8.2344,1,-41.36912,-169.49184,3.10812,8.2344,1,-41.36912,-169.49184,3.10812,8.2344,1,-41.36912,-169.49184,3.10812,8.2344
0.99999,-41.36889,-169.48998,3.10807,8.23414,0.99999,-41.36889,-169.49,3.10808,8.23413,0.99999,-41.36888,-169.49001,3.1081,8.23412,0.99999,-41.36888,-169.49003,3.10812,8.23411
0.99998,-41.36866,-169.48812,3.10801,8.23389,0.99998,-41.36865,-169.48815,3.10805,8.23386,0.99998,-41.36864,-169.48818,3.10809,8.23384,0.99998,-41.36863,-169.48822,3.10813,8.23382
0.99997,-41.36843,-169.48626,3.10796,8.23363,0.99997,-41.36841,-169.4863,3.10802,8.23359,0.99997,-41.3684,-169.48636,3.10808,8.23356,0.99997,-41.36839,-169.48641,3.10813,8.23353
0.99996,-41.3682,-169.4844,3.10791,8.23337,0.99996,-41.36818,-169.48446,3.10799,8.23332,0.99996,-41.36816,-169.48453,3.10806,8.23328,0.99996,-41.36815,-169.4846,3.10814,8.23324
0.99995,-41.36797,-169.48254,3.10786,8.23312,0.99995,-41.36794,-169.48261,3.10795,8.23306,0.99995,-41.36792,-169.4827,3.10805,8.233,0.99995,-41.3679,-169.48279,3.10814,8.23295
0.99994,-41.36773,-169.48067,3.10781,8.23286,0.99994,-41.36771,-169.48076,3.10792,8.23279,0.99994,-41.36768,-169.48087,3.10803,8.23273,0.99994,-41.36766,-169.48098,3.10815,8.23266
0.99993,-41.3675,-169.47881,3.10775,8.2326,0.99993,-41.36747,-169.47891,3.10789,8.23252,0.99993,-41.36744,-169.47904,3.10802,8.23245,0.99993,-41.36741,-169.47916,3.10815,8.23237
0.99992,-41.36727,-169.47695,3.1077,8.23235,0.99992,-41.36723,-169.47707,3.10786,8.23225,0.99992,-41.3672,-169.47721,3.10801,8.23217,0.99992,-41.36717,-169.47735,3.10816,8.23208
0.99991,-41.36704,-169.47509,3.10765,8.23209,0.99991,-41.367,-169.47522,3.10782,8.23198,0.99991,-41.36696,-169.47538,3.10799,8.23189,0.99991,-41.36692,-169.47554,3.10816,8.2318
0.9999,-41.36681,-169.47322,3.1076,8.23183,0.9999,-41.36676,-169.47337,3.10779,8.23171,0.9999,-41.36672,-169.47355,3.10798,8.23161,0.9999,-41.36668,-169.47373,3.10817,8.23151
0.99989,-41.36658,-169.47136,3.10755,8.23157,0.99989,-41.36652,-169.47153,3.10776,8.23144,0.99989,-41.36648,-169.47172,3.10796,8.23133,0.99989,-41.36643,-169.47192,3.10817,8.23122
0.99988,-41.36634,-169.4695,3.10749,8.23132,0.99988,-41.36629,-169.46968,3.10772,8.23117,0.99988,-41.36624,-169.46989,3.10795,8.23105,0.99988,-41.36619,-169.47011,3.10818,8.23093
0.99987,-41.36611,-169.46764,3.10744,8.23106,0.99987,-41.36605,-169.46783,3.10769,8.23091,0.99987,-41.366,-169.46807,3.10794,8.23077,0.99987,-41.36595,-169.4683,3.10818,8.23064
0.99986,-41.36588,-169.46577,3.10739,8.2308,0.99986,-41.36582,-169.46599,3.10766,8.23064,0.99986,-41.36576,-169.46624,3.10792,8.23049,0.99986,-41.3657,-169.46649,3.10819,8.23035
0.99985,-41.36565,-169.46391,3.10734,8.23055,0.99985,-41.36558,-169.46414,3.10763,8.23037,0.99985,-41.36552,-169.46441,3.10791,8.23021,0.99985,-41.36546,-169.46467,3.10819,8.23006
