,Mode,,Frequency,,Isotopologue
12-1-1-1-1,,,,,
MODE,1,FREQUENCY=,-1163.02307,(CM**-1),CHHHH
MODE,8,FREQUENCY=,24.12322,(CM**-1),CHHHH
MODE,9,FREQUENCY=,32.27273,(CM**-1),CHHHH
MODE,10,FREQUENCY=,33.11771,(CM**-1),CHHHH
MODE,11,FREQUENCY=,36.81041,(CM**-1),CHHHH
MODE,12,FREQUENCY=,42.86683,(CM**-1),CHHHH
MODE,13,FREQUENCY=,46.18493,(CM**-1),CHHHH
MODE,14,FREQUENCY=,49.58865,(CM**-1),CHHHH
MODE,15,FREQUENCY=,51.97644,(CM**-1),CHHHH
MODE,16,FREQUENCY=,53.49755,(CM**-1),CHHHH
MODE,17,FREQUENCY=,58.98820,(CM**-1),CHHHH
MODE,18,FREQUENCY=,65.46863,(CM**-1),CHHHH
MODE,19,FREQUENCY=,67.60012,(CM**-1),CHHHH
MODE,20,FREQUENCY=,75.39500,(CM**-1),CHHHH
MODE,21,FREQUENCY=,77.16202,(CM**-1),CHHHH
MODE,22,FREQUENCY=,83.06782,(CM**-1),CHHHH
MODE,23,FREQUENCY=,89.04665,(CM**-1),CHHHH
MODE,24,FREQUENCY=,90.39704,(CM**-1),CHHHH
MODE,25,FREQUENCY=,96.75273,(CM**-1),CHHHH
MODE,26,FREQUENCY=,102.25149,(CM**-1),CHHHH
MODE,27,FREQUENCY=,107.37499,(CM**-1),CHHHH
MODE,28,FREQUENCY=,112.46018,(CM**-1),CHHHH
MODE,29,FREQUENCY=,114.27614,(CM**-1),CHHHH
MODE,30,FREQUENCY=,115.67188,(CM**-1),CHHHH
MODE,31,FREQUENCY=,122.19413,(CM**-1),CHHHH
MODE,32,FREQUENCY=,124.60859,(CM**-1),CHHHH
MODE,33,FREQUENCY=,127.31531,(CM**-1),CHHHH
MODE,34,FREQUENCY=,137.35493,(CM**-1),CHHHH
MODE,35,FREQUENCY=,138.53857,(CM**-1),CHHHH
MODE,36,FREQUENCY=,148.47732,(CM**-1),CHHHH
MODE,37,FREQUENCY=,153.61736,(CM**-1),CHHHH
MODE,38,FREQUENCY=,157.18504,(CM**-1),CHHHH
MODE,39,FREQUENCY=,160.35884,(CM**-1),CHHHH
MODE,40,FREQUENCY=,165.04193,(CM**-1),CHHHH
MODE,41,FREQUENCY=,168.57651,(CM**-1),CHHHH
MODE,42,FREQUENCY=,172.82390,(CM**-1),CHHHH
MODE,43,FREQUENCY=,175.37403,(CM**-1),CHHHH
MODE,44,FREQUENCY=,183.09437,(CM**-1),CHHHH
MODE,45,FREQUENCY=,184.11475,(CM**-1),CHHHH
MODE,46,FREQUENCY=,197.74374,(CM**-1),CHHHH
MODE,47,FREQUENCY=,199.56484,(CM**-1),CHHHH
MODE,48,FREQUENCY=,207.20424,(CM**-1),CHHHH
MODE,49,FREQUENCY=,221.47078,(CM**-1),CHHHH
MODE,50,FREQUENCY=,228.67377,(CM**-1),CHHHH
MODE,51,FREQUENCY=,245.56019,(CM**-1),CHHHH
MODE,52,FREQUENCY=,252.31982,(CM**-1),CHHHH
MODE,53,FREQUENCY=,271.21002,(CM**-1),CHHHH
MODE,54,FREQUENCY=,276.00333,(CM**-1),CHHHH
MODE,55,FREQUENCY=,279.88158,(CM**-1),CHHHH
MODE,56,FREQUENCY=,306.59181,(CM**-1),CHHHH
MODE,57,FREQUENCY=,324.26702,(CM**-1),CHHHH
MODE,58,FREQUENCY=,326.68418,(CM**-1),CHHHH
MODE,59,FREQUENCY=,328.42016,(CM**-1),CHHHH
MODE,60,FREQUENCY=,353.26683,(CM**-1),CHHHH
MODE,61,FREQUENCY=,360.25810,(CM**-1),CHHHH
MODE,62,FREQUENCY=,368.86025,(CM**-1),CHHHH
MODE,63,FREQUENCY=,372.63730,(CM**-1),CHHHH
MODE,64,FREQUENCY=,376.22208,(CM**-1),CHHHH
MODE,65,FREQUENCY=,389.50554,(CM**-1),CHHHH
MODE,66,FREQUENCY=,453.14395,(CM**-1),CHHHH
MODE,67,FREQUENCY=,483.17613,(CM**-1),CHHHH
MODE,68,FREQUENCY=,492.14679,(CM**-1),CHHHH
MODE,69,FREQUENCY=,513.44333,(CM**-1),CHHHH
MODE,70,FREQUENCY=,523.18754,(CM**-1),CHHHH
MODE,71,FREQUENCY=,526.03237,(CM**-1),CHHHH
MODE,72,FREQUENCY=,534.97521,(CM**-1),CHHHH
MODE,73,FREQUENCY=,550.32379,(CM**-1),CHHHH
MODE,74,FREQUENCY=,569.13005,(CM**-1),CHHHH
MODE,75,FREQUENCY=,603.06231,(CM**-1),CHHHH
MODE,76,FREQUENCY=,614.66004,(CM**-1),CHHHH
MODE,77,FREQUENCY=,616.98306,(CM**-1),CHHHH
MODE,78,FREQUENCY=,618.04199,(CM**-1),CHHHH
MODE,79,FREQUENCY=,628.29492,(CM**-1),CHHHH
MODE,80,FREQUENCY=,636.30292,(CM**-1),CHHHH
MODE,81,FREQUENCY=,637.57077,(CM**-1),CHHHH
MODE,82,FREQUENCY=,649.13582,(CM**-1),CHHHH
MODE,83,FREQUENCY=,652.13650,(CM**-1),CHHHH
MODE,84,FREQUENCY=,663.80314,(CM**-1),CHHHH
MODE,85,FREQUENCY=,668.35505,(CM**-1),CHHHH
MODE,86,FREQUENCY=,669.79021,(CM**-1),CHHHH
