,Mode,,Frequency,,Isotopologue
12-1-1-1-1,,,,,
MODE,7,FREQUENCY=,1354.9252,(CM**-1),CHHHH
MODE,8,FREQUENCY=,1354.92678,(CM**-1),CHHHH
MODE,9,FREQUENCY=,1354.92796,(CM**-1),CHHHH
MODE,10,FREQUENCY=,1572.26555,(CM**-1),CHHHH
MODE,11,FREQUENCY=,1572.26779,(CM**-1),CHHHH
MODE,12,FREQUENCY=,3043.37254,(CM**-1),CHHHH
MODE,13,FREQUENCY=,3164.61754,(CM**-1),CHHHH
MODE,14,FREQUENCY=,3164.61767,(CM**-1),CHHHH
MODE,15,FREQUENCY=,3164.61783,(CM**-1),CHHHH
,,,,,
12-1-1-1-2,,,,,
MODE,7,FREQUENCY=,1195.55607,(CM**-1),CHHHD
MODE,8,FREQUENCY=,1195.55729,(CM**-1),CHHHD
MODE,9,FREQUENCY=,1348.82154,(CM**-1),CHHHD
MODE,10,FREQUENCY=,1511.15527,(CM**-1),CHHHD
MODE,11,FREQUENCY=,1511.15742,(CM**-1),CHHHD
MODE,12,FREQUENCY=,2291.57307,(CM**-1),CHHHD
MODE,13,FREQUENCY=,3078.75621,(CM**-1),CHHHD
MODE,14,FREQUENCY=,3164.413,(CM**-1),CHHHD
MODE,15,FREQUENCY=,3164.41319,(CM**-1),CHHHD
,,,,,
12-1-1-2-2,,,,,
MODE,7,FREQUENCY=,1058.5111,(CM**-1),CHHDD
MODE,8,FREQUENCY=,1124.08663,(CM**-1),CHHDD
MODE,9,FREQUENCY=,1274.00506,(CM**-1),CHHDD
MODE,10,FREQUENCY=,1361.79652,(CM**-1),CHHDD
MODE,11,FREQUENCY=,1475.15141,(CM**-1),CHHDD
MODE,12,FREQUENCY=,2242.89926,(CM**-1),CHHDD
MODE,13,FREQUENCY=,2343.9097,(CM**-1),CHHDD
MODE,14,FREQUENCY=,3110.00602,(CM**-1),CHHDD
MODE,15,FREQUENCY=,3164.20629,(CM**-1),CHHDD
,,,,,
12-1-2-2-2,,,,,
MODE,7,FREQUENCY=,1032.48804,(CM**-1),CHDDD
MODE,8,FREQUENCY=,1060.59389,(CM**-1),CHDDD
MODE,9,FREQUENCY=,1060.59519,(CM**-1),CHDDD
MODE,10,FREQUENCY=,1325.35437,(CM**-1),CHDDD
MODE,11,FREQUENCY=,1325.3563,(CM**-1),CHDDD
MODE,12,FREQUENCY=,2196.86899,(CM**-1),CHDDD
MODE,13,FREQUENCY=,2343.90126,(CM**-1),CHDDD
MODE,14,FREQUENCY=,2343.90127,(CM**-1),CHDDD
MODE,15,FREQUENCY=,3138.13306,(CM**-1),CHDDD
,,,,,
12-2-2-2-2,,,,,
MODE,7,FREQUENCY=,1023.86992,(CM**-1),CDDDD
MODE,8,FREQUENCY=,1023.87108,(CM**-1),CDDDD
MODE,9,FREQUENCY=,1023.87194,(CM**-1),CDDDD
MODE,10,FREQUENCY=,1112.18687,(CM**-1),CDDDD
MODE,11,FREQUENCY=,1112.18845,(CM**-1),CDDDD
MODE,12,FREQUENCY=,2152.81634,(CM**-1),CDDDD
MODE,13,FREQUENCY=,2343.89266,(CM**-1),CDDDD
MODE,14,FREQUENCY=,2343.89267,(CM**-1),CDDDD
MODE,15,FREQUENCY=,2343.89275,(CM**-1),CDDDD
,,,,,
13-1-1-1-1,,,,,
MODE,7,FREQUENCY=,1346.56296,(CM**-1),QHHHH
MODE,8,FREQUENCY=,1346.56453,(CM**-1),QHHHH
MODE,9,FREQUENCY=,1346.5657,(CM**-1),QHHHH
MODE,10,FREQUENCY=,1572.26555,(CM**-1),QHHHH
MODE,11,FREQUENCY=,1572.26779,(CM**-1),QHHHH
MODE,12,FREQUENCY=,3043.37254,(CM**-1),QHHHH
MODE,13,FREQUENCY=,3153.22603,(CM**-1),QHHHH
MODE,14,FREQUENCY=,3153.22616,(CM**-1),QHHHH
MODE,15,FREQUENCY=,3153.22632,(CM**-1),QHHHH
,,,,,
13-1-1-1-2,,,,,
MODE,7,FREQUENCY=,1187.48205,(CM**-1),QHHHD
MODE,8,FREQUENCY=,1187.48326,(CM**-1),QHHHD
MODE,9,FREQUENCY=,1341.6534,(CM**-1),QHHHD
MODE,10,FREQUENCY=,1510.10912,(CM**-1),QHHHD
MODE,11,FREQUENCY=,1510.11127,(CM**-1),QHHHD
MODE,12,FREQUENCY=,2280.16935,(CM**-1),QHHHD
MODE,13,FREQUENCY=,3074.99594,(CM**-1),QHHHD
MODE,14,FREQUENCY=,3152.99075,(CM**-1),QHHHD
MODE,15,FREQUENCY=,3152.99095,(CM**-1),QHHHD
,,,,,
13-1-1-2-2,,,,,
MODE,7,FREQUENCY=,1051.89124,(CM**-1),QHHDD
MODE,8,FREQUENCY=,1114.1639,(CM**-1),QHHDD
MODE,9,FREQUENCY=,1266.78776,(CM**-1),QHHDD
MODE,10,FREQUENCY=,1361.79652,(CM**-1),QHHDD
MODE,11,FREQUENCY=,1473.06718,(CM**-1),QHHDD
MODE,12,FREQUENCY=,2235.6824,(CM**-1),QHHDD
MODE,13,FREQUENCY=,2327.59319,(CM**-1),QHHDD
MODE,14,FREQUENCY=,3103.22633,(CM**-1),QHHDD
MODE,15,FREQUENCY=,3152.75288,(CM**-1),QHHDD
,,,,,
13-1-2-2-2,,,,,
MODE,7,FREQUENCY=,1022.28074,(CM**-1),QHDDD
MODE,8,FREQUENCY=,1054.81075,(CM**-1),QHDDD
MODE,9,FREQUENCY=,1054.81204,(CM**-1),QHDDD
MODE,10,FREQUENCY=,1323.08137,(CM**-1),QHDDD
MODE,11,FREQUENCY=,1323.0833,(CM**-1),QHDDD
MODE,12,FREQUENCY=,2193.40644,(CM**-1),QHDDD
MODE,13,FREQUENCY=,2327.56661,(CM**-1),QHDDD
MODE,14,FREQUENCY=,2327.56664,(CM**-1),QHDDD
MODE,15,FREQUENCY=,3128.8167,(CM**-1),QHDDD
,,,,,
13-2-2-2-2,,,,,
MODE,7,FREQUENCY=,1014.95903,(CM**-1),QDDDD
MODE,8,FREQUENCY=,1014.96018,(CM**-1),QDDDD
MODE,9,FREQUENCY=,1014.96104,(CM**-1),QDDDD
MODE,10,FREQUENCY=,1112.18687,(CM**-1),QDDDD
MODE,11,FREQUENCY=,1112.18845,(CM**-1),QDDDD
MODE,12,FREQUENCY=,2152.81634,(CM**-1),QDDDD
MODE,13,FREQUENCY=,2327.53952,(CM**-1),QDDDD
MODE,14,FREQUENCY=,2327.53955,(CM**-1),QDDDD
MODE,15,FREQUENCY=,2327.53962,(CM**-1),QDDDD
