,Mode,,Frequency,,Isotopologue
12-1-1-1-1,,,,,
MODE,1,FREQUENCY=,-1192.86915,(CM**-1),CHHHH
MODE,8,FREQUENCY=,21.33259,(CM**-1),CHHHH
MODE,9,FREQUENCY=,23.5859,(CM**-1),CHHHH
MODE,10,FREQUENCY=,25.46921,(CM**-1),CHHHH
MODE,11,FREQUENCY=,27.59232,(CM**-1),CHHHH
MODE,12,FREQUENCY=,28.33895,(CM**-1),CHHHH
MODE,13,FREQUENCY=,32.08156,(CM**-1),CHHHH
MODE,14,FREQUENCY=,36.91412,(CM**-1),CHHHH
MODE,15,FREQUENCY=,42.12607,(CM**-1),CHHHH
MODE,16,FREQUENCY=,45.27143,(CM**-1),CHHHH
MODE,17,FREQUENCY=,50.18152,(CM**-1),CHHHH
MODE,18,FREQUENCY=,53.10521,(CM**-1),CHHHH
MODE,19,FREQUENCY=,55.71837,(CM**-1),CHHHH
MODE,20,FREQUENCY=,58.724,(CM**-1),CHHHH
MODE,21,FREQUENCY=,62.99473,(CM**-1),CHHHH
MODE,22,FREQUENCY=,64.69289,(CM**-1),CHHHH
MODE,23,FREQUENCY=,69.92246,(CM**-1),CHHHH
MODE,24,FREQUENCY=,76.65378,(CM**-1),CHHHH
MODE,25,FREQUENCY=,83.33649,(CM**-1),CHHHH
MODE,26,FREQUENCY=,84.58614,(CM**-1),CHHHH
MODE,27,FREQUENCY=,89.89945,(CM**-1),CHHHH
MODE,28,FREQUENCY=,99.1608,(CM**-1),CHHHH
MODE,29,FREQUENCY=,109.7824,(CM**-1),CHHHH
MODE,30,FREQUENCY=,110.52803,(CM**-1),CHHHH
MODE,31,FREQUENCY=,115.61046,(CM**-1),CHHHH
MODE,32,FREQUENCY=,124.73842,(CM**-1),CHHHH
MODE,33,FREQUENCY=,128.04867,(CM**-1),CHHHH
MODE,34,FREQUENCY=,134.7985,(CM**-1),CHHHH
MODE,35,FREQUENCY=,138.48885,(CM**-1),CHHHH
MODE,36,FREQUENCY=,140.59145,(CM**-1),CHHHH
MODE,37,FREQUENCY=,141.91328,(CM**-1),CHHHH
MODE,38,FREQUENCY=,147.73086,(CM**-1),CHHHH
MODE,39,FREQUENCY=,155.58205,(CM**-1),CHHHH
MODE,40,FREQUENCY=,156.91179,(CM**-1),CHHHH
MODE,41,FREQUENCY=,163.10188,(CM**-1),CHHHH
MODE,42,FREQUENCY=,166.9196,(CM**-1),CHHHH
MODE,43,FREQUENCY=,170.54317,(CM**-1),CHHHH
MODE,44,FREQUENCY=,172.43391,(CM**-1),CHHHH
MODE,45,FREQUENCY=,179.00329,(CM**-1),CHHHH
MODE,46,FREQUENCY=,189.71114,(CM**-1),CHHHH
MODE,47,FREQUENCY=,196.95132,(CM**-1),CHHHH
MODE,48,FREQUENCY=,206.5381,(CM**-1),CHHHH
MODE,49,FREQUENCY=,212.90757,(CM**-1),CHHHH
MODE,50,FREQUENCY=,218.88672,(CM**-1),CHHHH
MODE,51,FREQUENCY=,235.3103,(CM**-1),CHHHH
